0	is	O
1	easi	O
2	to	O
3	wash	O
4	and	O
5	maintain	O
6	0	O
7	thi	O
8	set	O
9	contain	O
10	4	B_NUMBER_OF_CONTENTS_IN_SALES_PACKAGE
11	piec	O
12	0	O
13	size	O
14	length	O
15	13inch	O
16	width	O
17	19inch	O
18		
19	for	O
20	a	O
21	contemporari	O
22	twist	O
23	to	O
24	your	O
25	dine	O
26	tabl	O
27	,	O
28	thi	O
29	scallop	O
30	edg	O
31	print	O
32	tabl	O
33	mat	O
34	is	O
35	a	O
36	must	O
37	inclus	O
38	0	O
39	sure	O
40	to	O
41	suit	O
42	ani	O
43	mood	O
44	and	O
45	occas	O
46	,	O
47	thi	O
48	tabl	O
49	mat	O
50	is	O
51	all	O
52	you	O
53	need	O
54	to	O
55	get	O
56	those	O
57	appreci	O
58	glanc	O
59	0	O
60	It	O
61	ha	O
62	six	O
63	piec	O
64	of	O
65	tabl	O
66	mat	O
67	with	O
68	six	O
69	piec	O
70	coaster	O
71		
72	100	O
73	cotton	O
74	stripe	O
75	print	B_PATTERN
76	fine	O
77	rib	O
78	placemat	O
79	In	O
80	navi	O
81	color	O
82		
83	bring	O
84	home	O
85	these	O
86	beauti	O
87	tabl	B_SALES_PACKAGE
88	placemat	I_SALES_PACKAGE
89	from	I_SALES_PACKAGE
90	the	O
91	hous	O
92	of	O
93	zaffre'	B_BRAND
94	0	O
95	avail	O
96	in	O
97	a	O
98	rang	O
99	of	O
100	eye	O
101	catch	O
102	and	O
103	attract	O
104	colour	O
105	and	O
106	design	O
107	,	O
108	these	O
109	will	O
110	serv	O
111	as	O
112	an	O
113	ideal	O
114	adorn	O
115	to	O
116	your	O
117	home	O
118	decor	O
119	0	O
120	bring	O
121	these	O
122	home	O
123	today	O
124	and	O
125	get	O
126	readi	O
127	to	O
128	fetch	O
129	compliment	O
130	and	O
131	admir	O
132	glanc	O
133	0	O
134		
135	color	O
136	multi	O
137	materi	O
138	pvc	B_MATERIAL
139	packag	O
140	content	O
141	4	B_NUMBER_OF_CONTENTS_IN_SALES_PACKAGE
142	tabl	O
