and	O
attract	O
color	O
,	O
shape	O
and	O
sound	O
keep	O
the	O
child	O
occupi	O
for	O
hour	O
.	O
1	O
.	O
press	O
the	O
organ	O
key	O
and	O
it	O
will	O
send	O
out	O
8	O
basic	O
note	O
,	O
beat	O
the	O
drum	O
surfac	O
and	O
it	O
will	O
send	O
out	O
pleasant	O
drum	O
beat	O
sound	O
.	O
2	O
.	O
organ	O
key	O
is	O
for	O
advanc	O
forward	O
,	O
which	O
help	O
you	O
play	O
a	O
piec	O
of	O
wonder	O
music	O
with	O
eas	O
.	O
beat	O
the	O
drum	O
surfac	O
will	O
send	O
out	O
pleasant	O
babi	O
laughter	O
.	O
3	O
.	O
press	O
the	O
organ	O
key	O
and	O
it	O
will	O
send	O
out	O
wonder	O
melodi	O
,	O
beat	O
the	O
drum	O
surfac	O
and	O
it	O
will	O
call	O
out	O
the	O
name	O
of	O
the	O
light	O
color	O
.	O
4	O
.	O
beat	O
the	O
drum	O
surfac	O
and	O
it	O
will	O
read	O
out	O
the	O
number	O
.	O
thi	O
is	O
a	O
magnific	O
toy	O
for	O
your	O
child	O
.	O
It	O
ha	O
music	O
light	O
and	O
and	O
trip	O
back	O
wherev	O
it	O
find	O
an	O
obstacl	O
.	O
your	O
child	O
will	O
be	O
fascin	O
to	O
see	O
it	O
move	O
around	O
.	O
specif	O
and	O
color	O
may	O
vari	O
from	O
illustr	O
enjoy	O
thi	O
cute	O
music	O
robot	B_CHARACTER
with	O
colour	O
flash	O
light	O
.	O
It	O
even	O
ha	O
one	O
set	O
of	O
danc	O
move	O
.	O
robot'	B_CHARACTER
arm	O
can	O
sway	O
up	O
and	O
down	O
.	O
It	O
can	O
move	O
forward	O
and	O
backward	O
.	O
It	O
can	O
also	O
rotat	O
360	O
degre	O
.	O
not	O
onli	O
thi	O
,	O
the	O
color	O
light	O
with	O
the	O
fan	O
on	O
it'	O
head	O
is	O
absolut	O
amaz	O
.	O
thi	O
batteri	B_POWERED_BY
oper	O
plane	O
is	O
realist	O
design	O
and	O
can	O
slide	O
on	O
the	O
ground	O
with	O
flash	O
light	O
and	O
sound	O
.	O
It	O
is	O
an	O
excel	O
gift	O
item	O
for	O
littl	O
children	O
.	O
batteri	B_POWERED_BY
inform	O
(	O
batteri	O
not	O
includ	O
)	O
(	O
3	O
AA	B_BATTERY_TYPE
batteri	O
)	O
these	O
cute	O
and	O
ador	O
doll	B_CHARACTER
make	O
up	O
for	O
an	O
all	O
time	O
companion	O
for	O
kid	O
good	O
addtion	O
to	O
your	O
child'	O
collect	O
.	O
It	O
is	O
made	O
of	O
soft	O
fabric	O
and	O
fine	O
qualiti	O
materi	O
.	O
these	O
doll	B_CHARACTER
have	O
been	O
enhanc	O
by	O
beauti	O
colour	O
which	O
would	O
sure	O
add	O
more	O
delight	O
to	O
your	O
child'	O
life	O
.	O
thi	O
is	O
a	O
perfect	O
gift	O
for	O
your	O
love	O
one	O
.	O
just	B_BRAND
toyz	I_BRAND
bring	O
you	O
uniqu	O
telephon	O
experi	O
where	O
your	O
child	O
will	O
leav	O
your	O
cell	O
phone	O
and	O
go	O
back	O
to	O
be	O
a	O
child	O
and	O
you	O
can	O
go	O
back	O
play	O
angri	O
bird	O
the	O
babi	O
like	O
have	O
sound	O
object	O
,	O
rap	O
ha	O
at	O
the	O
same	O
time	O
it	O
help	O
possibl	O
babi	O
movement	O
and	O
also	O
for	O
train	O
eye	O
co	O
ordin	O
abil	O
.	O
the	O
lovabl	O
uniqu	O
xylophon	O
ha	O
8	O
kind	O
of	O
differ	O
scale	O
separ	O
by	O
pure	O
wood	O
which	O
make	O
the	O
music	O
veri	O
clear	O
.	O
increas	O
baby'	O
music	O
sens	O
,	O
therebi	O
increas	O
the	O
music	O
gener	O
knowledg	O
.	O
number	O
of	O
note	O
8	O
approxim	O
size	O
lxbxh	O
33x13x3	O
cm	O
thi	O
veri	O
beauti	O
new	O
mix	O
music	B_MODEL_NAME
toy	I_MODEL_NAME
is	O
worth	O
collect	O
for	O
your	O
kid	O
.	O
thi	O
toy	O
is	O
a	O
fine	O
combin	O
gift	O
with	O
novel	O
design	O
and	O
uniqu	O
style	O
.	O
We	O
hope	O
to	O
give	O
your	O
kid	O
fun	O
and	O
wisdom	O
a	O
richer	O
childhood	O
use	O
their	O
imagin	O
to	O
creat	O
their	O
own	O
fairi	O
tale	O
world	O
.	O
etpl	B_BRAND
present	O
to	O
you	O
strawberri	O
shape	O
piano	B_CHARACTER
.	O
the	O
piano	B_CHARACTER
give	O
the	O
sound	O
of	O
some	O
anim	O
upon	O
press	O
the	O
specif	O
key	O
.	O
.	O
veri	O
attract	O
toy	O
for	O
kid	O
.	O
color	O
may	O
vari	O
as	O
per	O
stock	O
attract	O
children	O
Of	O
all	O
age	O
.	O
the	B_SALES_PACKAGE
keyboard	I_SALES_PACKAGE
ha	O
37	O
key	O
.	O
It	O
ha	O
24	O
demo	O
song	O
pre	O
record	O
and	O
A	O
work	O
microphon	O
attach	O
.	O
It	O
